userID,cond,gender,age
21561623,o-cfe,male             ,35-44y           
84723346,s-cfe,female           ,35-44y           
21131778,o-con,female           ,35-44y           
90644536,s-con,female           ,25-34y           
48472756,s-con,male             ,25-34y           
51891032,o-con,male             ,18-24y           
28168449,s-con,male             ,25-34y           
47666493,o-con,male             ,25-34y           
10106853,s-cfe,female           ,25-34y           
63206362,o-con,male             ,25-34y           
31151322,s-cfe,male             ,25-34y           
25574123,o-con,male             ,25-34y           
42524045,s-con,prefer not to say,prefer not to say
83632648,s-cfe,male             ,25-34y           
69651024,o-con,male             ,25-34y           
75362304,s-con,prefer not to say,35-44y           
92109705,s-cfe,prefer not to say,35-44y           
01390244,o-con,male             ,25-34y           
79048407,o-cfe,male             ,25-34y           
26093094,s-con,male             ,25-34y           
66148942,s-cfe,male             ,25-34y           
53382089,o-con,male             ,25-34y           
64651637,o-cfe,prefer not to say,18-24y           
74433126,s-con,male             ,18-24y           
08038625,s-cfe,male             ,25-34y           
21410794,o-con,male             ,25-34y           
91405133,o-cfe,male             ,25-34y           
84293563,s-con,male             ,35-44y           
64256252,s-cfe,male             ,25-34y           
29103727,o-cfe,prefer not to say,45-54y           
38687174,s-con,female           ,25-34y           
28973492,o-con,male             ,18-24y           
94701268,o-cfe,male             ,25-34y           
84911820,s-cfe,male             ,18-24y           
50490732,o-cfe,female           ,25-34y           
88320661,o-con,female           ,25-34y           
57053287,o-cfe,male             ,25-34y           
45293534,s-con,female           ,35-44y           
13584836,o-con,male             ,25-34y           
40129706,o-cfe,male             ,55-65y           
