userID,cond,trialNo,responseTime,explanationTime
21561623,o-cfe,13,2792,1295
21561623,o-cfe,15,4972,1548
21561623,o-cfe,6,4310,1486
21561623,o-cfe,3,8861,12273
21561623,o-cfe,14,5352,968
21561623,o-cfe,7,5704,1104
21561623,o-cfe,2,7104,11571
21561623,o-cfe,11,4080,4624
21561623,o-cfe,12,9392,10776
21561623,o-cfe,8,4785,5056
21561623,o-cfe,5,4593,976
21561623,o-cfe,4,6303,2892
21561623,o-cfe,1,6096,1760
21561623,o-cfe,10,9318,27279
21561623,o-cfe,0,5040,8168
21561623,o-cfe,9,3155,11557
84723346,s-cfe,5,4491,14959
84723346,s-cfe,13,4210,2401
84723346,s-cfe,3,4159,10510
84723346,s-cfe,0,11268,10126
84723346,s-cfe,12,10346,18964
84723346,s-cfe,10,22540,24831
84723346,s-cfe,4,7578,2867
84723346,s-cfe,9,3610,6927
84723346,s-cfe,14,4457,3525
84723346,s-cfe,8,10002,3088
84723346,s-cfe,15,9582,4249
84723346,s-cfe,2,3345,7790
84723346,s-cfe,11,8491,9955
84723346,s-cfe,6,11399,16352
84723346,s-cfe,1,4675,5662
84723346,s-cfe,7,3596,10706
21131778,o-con,1,4282,1516
21131778,o-con,14,13441,13693
21131778,o-con,3,3982,1783
21131778,o-con,12,7038,2235
21131778,o-con,9,3503,1300
21131778,o-con,10,2861,1800
21131778,o-con,15,3019,2858
21131778,o-con,2,4431,1617
21131778,o-con,8,7772,1422
21131778,o-con,0,6724,8425
21131778,o-con,4,6689,1952
21131778,o-con,13,3226,5018
21131778,o-con,11,4437,2017
21131778,o-con,7,2802,1448
21131778,o-con,6,14195,7222
21131778,o-con,5,4156,4942
90644536,s-con,3,7454,1215
90644536,s-con,0,5454,1016
90644536,s-con,11,2969,1098
90644536,s-con,8,10778,6451
90644536,s-con,13,6039,1034
90644536,s-con,7,7240,982
90644536,s-con,15,10372,1181
90644536,s-con,14,3071,1050
90644536,s-con,6,5490,1149
90644536,s-con,9,5922,1067
90644536,s-con,2,5619,2367
90644536,s-con,12,5389,1165
90644536,s-con,1,3722,1098
90644536,s-con,4,4971,1032
90644536,s-con,10,5937,999
90644536,s-con,5,2819,999
48472756,s-con,5,2518,965
48472756,s-con,10,3536,1132
48472756,s-con,15,4235,968
48472756,s-con,1,5749,1016
48472756,s-con,0,3684,1049
48472756,s-con,13,21413,6517
48472756,s-con,8,4268,1316
48472756,s-con,4,3868,1032
48472756,s-con,14,8135,1233
48472756,s-con,11,4801,1049
48472756,s-con,12,5935,1449
48472756,s-con,6,2969,898
48472756,s-con,9,3935,1032
48472756,s-con,2,2968,1115
48472756,s-con,3,2352,998
48472756,s-con,7,4302,1182
51891032,o-con,7,3087,1200
51891032,o-con,2,3973,1116
51891032,o-con,10,10275,1700
51891032,o-con,6,12473,1550
51891032,o-con,13,8202,1568
51891032,o-con,4,5884,1718
51891032,o-con,5,20620,2485
51891032,o-con,3,6855,3486
51891032,o-con,14,6990,1167
51891032,o-con,0,43386,1749
51891032,o-con,9,8154,1367
51891032,o-con,15,3103,1067
51891032,o-con,12,5305,1115
51891032,o-con,1,4004,1284
51891032,o-con,11,7253,1083
51891032,o-con,8,2754,1584
28168449,s-con,3,34263,2898
28168449,s-con,9,8248,2732
28168449,s-con,13,9987,2877
28168449,s-con,11,12201,7663
28168449,s-con,1,6191,2274
28168449,s-con,0,9153,4262
28168449,s-con,2,7899,2583
28168449,s-con,12,7283,6132
28168449,s-con,15,4167,2019
28168449,s-con,14,19296,13897
28168449,s-con,5,7030,3782
28168449,s-con,4,8967,2869
28168449,s-con,7,7550,2831
28168449,s-con,8,8349,3133
28168449,s-con,10,6516,2515
28168449,s-con,6,7150,13048
47666493,o-con,8,3267,4967
47666493,o-con,1,15811,8919
47666493,o-con,13,5301,1517
47666493,o-con,14,10385,2167
47666493,o-con,10,4101,2634
47666493,o-con,2,3917,4485
