userID,cond,gender,age
72142817,s-cfe,non-binary       ,25-34y           
15183832,o-cfe,male             ,25-34y           
44718609,o-con,male             ,25-34y           
30615574,o-cfe,male             ,25-34y           
98023837,o-con,female           ,25-34y           
67305654,o-con,female           ,25-34y           
97999152,s-con,male             ,25-34y           
54931353,s-con,male             ,35-44y           
46338593,s-con,male             ,25-34y           
76718928,s-cfe,male             ,25-34y           
64170647,o-con,female           ,25-34y           
54358270,o-cfe,male             ,25-34y           
67780982,o-cfe,female           ,25-34y           
51151915,o-cfe,female           ,35-44y           
78121420,o-cfe,prefer not to say,25-34y           
58425147,s-cfe,male             ,25-34y           
49035542,o-con,male             ,35-44y           
06774489,s-cfe,male             ,35-44y           
84738400,o-con,male             ,25-34y           
29622415,o-con,female           ,25-34y           
84182349,o-con,male             ,35-44y           
16812208,o-cfe,male             ,35-44y           
08154976,o-cfe,male             ,18-24y           
86543440,o-cfe,male             ,25-34y           
00340497,s-cfe,female           ,25-34y           
81038189,s-con,female           ,25-34y           
51381581,o-cfe,female           ,35-44y           
34562901,o-cfe,female           ,18-24y           
18325691,o-cfe,female           ,25-34y           
09691408,s-cfe,female           ,45-54y           
14682463,o-cfe,female           ,35-44y           
21300998,o-cfe,female           ,35-44y           
78627603,s-cfe,male             ,25-34y           
70333690,o-con,non-binary       ,25-34y           
32227210,o-cfe,female           ,25-34y           
91838742,s-con,female           ,18-24y           
58674604,o-cfe,female           ,25-34y           
