userID,cond,timeConsentPage,totalTime,timeInstruct1,timeInstruct2,timeAttentionCheck,timeInstruct1-pass2,timeInstruct2-pass2,timeAttentionCheck-pass2,responseAttentionCheck-pass2
72142817,s-cfe,36842,409556,11908,24911,9700,,,,
15183832,o-cfe,1572064,864510,241019,30175,11336,,,,
44718609,o-con,146080,692613,76502,59530,16946,,,,
30615574,o-cfe,81099,380571,35619,16317,10274,,,,
98023837,o-con,47804,285415,14060,13259,8686,5245.0,2392.0,4095.0,1.0
67305654,o-con,26996,392863,41739,23107,8599,,,,
97999152,s-con,35221,386999,28978,19215,14567,,,,
54931353,s-con,14374,500909,33075,26984,49000,,,,
46338593,s-con,71657,445720,40920,28660,13198,,,,
76718928,s-cfe,2715,433311,2329,3835,4955,,,,
64170647,o-con,5197,429403,4250,27468,11380,,,,
54358270,o-cfe,4957,342660,31254,19022,19696,,,,
67780982,o-cfe,35046,770756,28158,44843,17851,,,,
51151915,o-cfe,134973,979649,158486,78116,27551,,,,
78121420,o-cfe,10659907,384238,23754,27339,9506,,,,
58425147,s-cfe,38281,448936,49104,22976,13464,,,,
49035542,o-con,68536,730831,244493,21417,12990,,,,
06774489,s-cfe,4164,490484,1530,2698,7136,,,,
84738400,o-con,37946,405310,3248,44753,18561,,,,
29622415,o-con,761828,384477,2704,31715,9429,,,,
84182349,o-con,891793,179891,2567,39513,2880,1495.0,19617.0,10136.0,0.0
16812208,o-cfe,19981,371952,33435,28305,13068,,,,
08154976,o-cfe,80212,349634,31421,20521,18156,,,,
86543440,o-cfe,5377,391276,2159,54893,14495,,,,
00340497,s-cfe,11841,313946,45096,19085,7652,,,,
81038189,s-con,3721,258508,2463,25581,10665,,,,
51381581,o-cfe,28904,703662,10886,34286,23128,,,,
34562901,o-cfe,20300,389940,36653,25176,12313,,,,
18325691,o-cfe,52535,632197,56714,28350,14584,,,,
09691408,s-cfe,59433,373370,21987,38848,16855,,,,
14682463,o-cfe,20416,785072,3732,42471,33377,,,,
21300998,o-cfe,50779,370751,28531,29386,7669,,,,
78627603,s-cfe,15463,1480414,10679,3127,14090,,,,
70333690,o-con,31045,365764,29043,18360,9718,,,,
32227210,o-cfe,2274,270561,16248,14520,8417,,,,
91838742,s-con,29293,435761,2183,31984,12362,,,,
58674604,o-cfe,36508,354263,34426,29658,11864,,,,
