userID,cond,trialNo,responseTime,explanationTime
72142817,s-cfe,9,3174,4820
72142817,s-cfe,11,7619,4632
72142817,s-cfe,12,5956,1948
72142817,s-cfe,2,8402,3361
72142817,s-cfe,4,5769,3439
72142817,s-cfe,10,8474,5802
72142817,s-cfe,1,7285,3669
72142817,s-cfe,3,5800,2225
72142817,s-cfe,15,6091,2355
72142817,s-cfe,0,14466,11161
72142817,s-cfe,7,9408,5068
72142817,s-cfe,5,7660,35869
72142817,s-cfe,6,28291,1745
72142817,s-cfe,8,7331,1453
72142817,s-cfe,13,7178,1935
72142817,s-cfe,14,6063,1341
15183832,o-cfe,7,7928,8816
15183832,o-cfe,3,4537,10991
15183832,o-cfe,9,3345,16223
15183832,o-cfe,1,14233,33303
15183832,o-cfe,15,3912,2408
15183832,o-cfe,11,6927,1497
15183832,o-cfe,14,9576,2640
15183832,o-cfe,10,43871,3600
15183832,o-cfe,13,5383,2880
15183832,o-cfe,8,21238,10552
15183832,o-cfe,2,3943,3913
15183832,o-cfe,6,7017,4518
15183832,o-cfe,0,3367,4033
15183832,o-cfe,12,6119,5552
15183832,o-cfe,5,7000,11417
15183832,o-cfe,4,4112,7800
44718609,o-con,0,10970,14617
44718609,o-con,2,5006,1585
44718609,o-con,3,8626,6029
44718609,o-con,6,6549,7373
44718609,o-con,7,5568,1391
44718609,o-con,8,6659,14521
44718609,o-con,15,6681,19807
44718609,o-con,10,3609,3917
44718609,o-con,9,4531,2259
44718609,o-con,14,6679,18352
44718609,o-con,5,5246,15787
44718609,o-con,11,5430,2440
44718609,o-con,12,5459,2081
44718609,o-con,1,4318,1139
44718609,o-con,13,4722,5420
44718609,o-con,4,4179,1425
30615574,o-cfe,6,4184,1146
30615574,o-cfe,12,3728,1215
30615574,o-cfe,8,2439,1740
30615574,o-cfe,3,5700,13161
30615574,o-cfe,7,3472,923
30615574,o-cfe,14,4073,5241
30615574,o-cfe,1,14557,17247
30615574,o-cfe,0,3508,2588
30615574,o-cfe,5,6772,6741
30615574,o-cfe,4,4393,5068
30615574,o-cfe,9,2909,4297
30615574,o-cfe,2,3750,728
30615574,o-cfe,15,6022,9282
30615574,o-cfe,11,2198,1191
30615574,o-cfe,10,3725,1081
30615574,o-cfe,13,2917,3553
98023837,o-con,10,2309,626
98023837,o-con,14,3624,773
98023837,o-con,8,2403,499
98023837,o-con,12,10303,645
98023837,o-con,5,8381,587
98023837,o-con,9,5225,1221
98023837,o-con,3,3714,990
98023837,o-con,1,2669,544
98023837,o-con,4,6856,43763
98023837,o-con,11,4922,2871
98023837,o-con,6,11184,6440
98023837,o-con,0,2351,652
98023837,o-con,7,5705,1019
98023837,o-con,13,2552,685
98023837,o-con,15,7490,2697
98023837,o-con,2,2256,709
67305654,o-con,7,5311,1776
67305654,o-con,14,5261,828
67305654,o-con,11,8094,3064
67305654,o-con,5,4275,1006
67305654,o-con,4,4928,1653
67305654,o-con,0,12031,6344
67305654,o-con,2,16363,2714
67305654,o-con,13,15160,9888
67305654,o-con,15,9467,1309
67305654,o-con,8,9196,1531
67305654,o-con,6,4238,1040
67305654,o-con,9,10771,1572
67305654,o-con,12,7838,2284
67305654,o-con,10,4538,972
67305654,o-con,3,26152,1871
67305654,o-con,1,7122,2220
97999152,s-con,10,3898,4409
97999152,s-con,2,4025,2441
97999152,s-con,12,4545,6781
97999152,s-con,0,7860,6817
97999152,s-con,4,7987,3049
97999152,s-con,5,5263,10598
97999152,s-con,11,5627,8967
97999152,s-con,6,3610,1635
97999152,s-con,8,7041,6504
97999152,s-con,3,4689,3286
97999152,s-con,15,14616,11820
97999152,s-con,14,4028,3317
97999152,s-con,13,7505,3404
97999152,s-con,1,4777,994
97999152,s-con,7,7102,1068
97999152,s-con,9,3300,1411
54931353,s-con,8,5260,1590
54931353,s-con,7,6134,1839
54931353,s-con,14,4389,5877
54931353,s-con,11,8099,3109
54931353,s-con,10,5101,1509
54931353,s-con,2,3936,1727
54931353,s-con,0,3958,1793
54931353,s-con,3,11253,7761
54931353,s-con,15,24118,47324
54931353,s-con,6,5089,1507
54931353,s-con,12,4482,3008
54931353,s-con,4,6107,2840
54931353,s-con,1,9035,1812
54931353,s-con,5,3897,1593
54931353,s-con,13,8046,1950
54931353,s-con,9,3606,1544
46338593,s-con,12,5528,5219
46338593,s-con,0,6627,1712
46338593,s-con,7,4444,2605
46338593,s-con,6,5823,2153
46338593,s-con,15,7181,1687
46338593,s-con,4,20034,4378
46338593,s-con,8,11641,3499
46338593,s-con,5,7081,3054
46338593,s-con,10,4672,1632
46338593,s-con,2,6150,5656
46338593,s-con,13,8904,2145
46338593,s-con,1,3945,1449
46338593,s-con,3,8704,24593
46338593,s-con,14,7817,1617
46338593,s-con,9,4159,1623
46338593,s-con,11,4489,1649
76718928,s-cfe,7,3174,4795
76718928,s-cfe,1,5162,13247
76718928,s-cfe,9,5341,5624
76718928,s-cfe,12,10233,5527
76718928,s-cfe,10,7974,2761
76718928,s-cfe,14,11404,6982
76718928,s-cfe,4,5850,6899
76718928,s-cfe,0,4130,33406
