userID,cond,trialNo,userPred,truePred,valQuality,valProductivity,valPunctuality,valFeedback
72142817,s-cfe,9,Y,Y,L,H,L,H
72142817,s-cfe,11,Y,N,L,H,L,L
72142817,s-cfe,12,Y,N,H,L,L,H
72142817,s-cfe,2,Y,Y,H,H,H,L
72142817,s-cfe,4,Y,Y,H,L,H,H
72142817,s-cfe,10,N,N,H,H,L,L
72142817,s-cfe,1,Y,Y,L,H,H,H
72142817,s-cfe,3,N,Y,L,H,H,L
72142817,s-cfe,15,Y,N,L,L,L,L
72142817,s-cfe,0,N,Y,H,H,H,H
72142817,s-cfe,7,N,N,L,L,H,L
72142817,s-cfe,5,N,Y,L,L,H,H
72142817,s-cfe,6,N,N,H,L,H,L
72142817,s-cfe,8,N,Y,H,H,L,H
72142817,s-cfe,13,N,N,L,L,L,H
72142817,s-cfe,14,N,N,H,L,L,L
15183832,o-cfe,7,Y,N,L,L,H,L
15183832,o-cfe,3,Y,Y,L,H,H,L
15183832,o-cfe,9,Y,Y,H,H,L,L
15183832,o-cfe,1,Y,Y,H,H,H,L
15183832,o-cfe,15,Y,N,L,L,L,L
15183832,o-cfe,11,Y,N,L,H,L,L
15183832,o-cfe,14,N,N,L,L,L,H
15183832,o-cfe,10,N,N,L,H,L,H
15183832,o-cfe,13,Y,N,H,L,L,L
15183832,o-cfe,8,N,Y,H,H,L,H
15183832,o-cfe,2,N,Y,L,H,H,H
15183832,o-cfe,6,N,N,L,L,H,H
15183832,o-cfe,0,N,Y,H,H,H,H
15183832,o-cfe,12,N,N,H,L,L,H
15183832,o-cfe,5,N,Y,H,L,H,L
15183832,o-cfe,4,N,Y,H,L,H,H
44718609,o-con,0,Y,Y,H,H,H,H
44718609,o-con,2,Y,Y,H,L,H,H
44718609,o-con,3,Y,Y,H,L,L,H
44718609,o-con,6,Y,N,L,L,H,H
44718609,o-con,7,Y,N,L,L,L,H
44718609,o-con,8,N,Y,H,H,H,L
44718609,o-con,15,Y,N,L,L,L,L
44718609,o-con,10,N,N,H,L,H,L
44718609,o-con,9,Y,Y,H,H,L,L
44718609,o-con,14,N,N,L,L,H,L
44718609,o-con,5,Y,Y,L,H,L,H
44718609,o-con,11,N,N,H,L,L,L
44718609,o-con,12,N,N,L,H,H,L
44718609,o-con,1,N,Y,H,H,L,H
44718609,o-con,13,N,N,L,H,L,L
44718609,o-con,4,N,Y,L,H,H,H
30615574,o-cfe,6,Y,N,L,H,L,H
30615574,o-cfe,12,Y,N,H,H,L,L
30615574,o-cfe,8,Y,Y,H,H,H,L
30615574,o-cfe,3,N,Y,L,L,H,H
30615574,o-cfe,7,Y,N,L,L,L,H
30615574,o-cfe,14,N,N,L,H,L,L
